name_hint,website,city_hint,country_hint,region,category_hint,discovery_source,source_url,enabled,priority,discovered_at,verification_status
Grace Earth Clinic,https://www.grace-earth.net/en/english/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://www.grace-earth.net/en/english/,True,1,2026-09-16,direct_site_verified
Ginza Clinic Neopolis,https://ginzaclinic-neopolis.or.jp/en/stemcell,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://ginzaclinic-neopolis.or.jp/en/stemcell,True,1,2026-09-16,direct_site_verified
Eri Clinic Omotesando,https://www.eri-clinic.com/en/menu/stem-cell/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://www.eri-clinic.com/en/menu/stem-cell/,True,1,2026-09-16,direct_site_verified
M Regenerative Clinic,https://mrclinic.tokyo/en/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://mrclinic.tokyo/en/,True,1,2026-09-16,direct_site_verified
Century Clinic Tokyo,https://century-clinic.jp/en/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://century-clinic.jp/en/,True,1,2026-09-16,direct_site_verified
BioRegen Clinic,https://www.bioregenclinic.jp/en/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://www.bioregenclinic.jp/en/,True,1,2026-09-16,direct_site_verified
5Star Medical Club,https://en.5stars.tokyo/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://en.5stars.tokyo/,True,1,2026-09-16,direct_site_verified
Clinic Le GINZA,https://clinic-le-ginza.jp/en/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://clinic-le-ginza.jp/en/,True,1,2026-09-16,direct_site_verified
Rakan Clinic Tokyo,https://global.rakanclinic-tokyo.jp/en,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://global.rakanclinic-tokyo.jp/en,True,1,2026-09-16,direct_site_verified
Tokyo Relife Clinic,https://tokyo-relife.com/en/menu/stem-cell-therapy/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://tokyo-relife.com/en/menu/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
